State,shopping centre,url,Coordinate,latitude,longitude
Victoria,The Block Arcade,"https://en.wikipedia.org/wiki/Block_Arcade,_Melbourne","37°48′57″S,144°57′52″E",-37.81583,144.96444
Victoria,The District Docklands,https://en.wikipedia.org/wiki/The_District_Docklands,"37°48′47″S,144°56′17″E",-37.81306,144.93806
Victoria,Galleria,https://en.wikipedia.org/wiki/385_Bourke_Street,"37°48′53″S,144°57′46″E",-37.81472,144.96278
Victoria,Melbourne Central,https://en.wikipedia.org/wiki/Melbourne_Central_Shopping_Centre,"37°48′37.42″S,144°57′47.32″E",-37.81028,144.96306
Victoria,Melbourne GPO,"https://en.wikipedia.org/wiki/General_Post_Office,_Melbourne","37°48′50″S,144°57′47″E",-37.81389,144.96306
Victoria,QV Village,https://en.wikipedia.org/wiki/Queen_Victoria_Village,"37°48′39″S,144°57′55″E",-37.81083,144.96528
Victoria,Royal Arcade,"https://en.wikipedia.org/wiki/Royal_Arcade,_Melbourne","37°48′52″S,144°57′51″E",-37.81444,144.96417
Victoria,St. Collins Lane,https://en.wikipedia.org/wiki/St._Collins_Lane,"37°48′57″S,144°57′54″E",-37.81583,144.965
Victoria,Southbank Promenade,https://en.wikipedia.org/wiki/Southbank_Promenade,"37°49′44″S,144°57′25″E",-37.82889,144.95694
Victoria,Bayside Shopping Centre,https://en.wikipedia.org/wiki/Bayside_Shopping_Centre,"38°08′28″S,145°07′29″E",-38.14111,145.12472
Victoria,Box Hill Central Shopping Centre,https://en.wikipedia.org/wiki/Box_Hill_Central_Shopping_Centre,"37°49′10″S,145°7′24″E",-37.81944,145.12333
